dir,entry_time,entry,stop,target,exit_time,exit,lots,pnl,R,reason,bars
SHORT,2012-06-08 08:00:00,1571.58,1594.34,1526.04,2012-06-08 20:00:00,1594.34,0.07,-161.89,-1.02,stop,2
LONG,2012-06-13 16:00:00,1621.27,1602.1,1659.66,2012-06-20 12:00:00,1602.1,0.09,-175.84,-1.02,stop,28
SHORT,2012-06-21 16:00:00,1588.2,1606.36,1551.93,2012-06-28 16:00:00,1551.93,0.09,323.06,1.98,target,29
SHORT,2012-06-28 20:00:00,1551.88,1572.92,1509.76,2012-06-29 12:00:00,1572.92,0.08,-171.32,-1.02,stop,3
LONG,2012-06-29 16:00:00,1597.12,1562.27,1666.88,2012-07-12 12:00:00,1562.27,0.05,-176.09,-1.01,stop,52
SHORT,2012-07-12 16:00:00,1559.54,1572.61,1533.64,2012-07-12 20:00:00,1572.61,0.13,-174.75,-1.03,stop,0
LONG,2012-07-25 12:00:00,1589.27,1576.45,1614.97,2012-07-26 12:00:00,1614.97,0.13,329.32,1.98,target,5
LONG,2012-07-26 16:00:00,1614.17,1597.7,1647.04,2012-08-01 16:00:00,1597.7,0.1,-168.35,-1.02,stop,23
SHORT,2012-08-02 20:00:00,1586.03,1605.56,1546.98,2012-08-03 16:00:00,1605.56,0.08,-159.18,-1.02,stop,4
LONG,2012-08-10 20:00:00,1621.45,1610.02,1644.17,2012-08-13 20:00:00,1610.02,0.15,-177.06,-1.03,stop,5
SHORT,2012-08-14 16:00:00,1596.5,1619.09,1551.39,2012-08-17 08:00:00,1619.09,0.07,-160.7,-1.02,stop,15
LONG,2012-08-17 12:00:00,1618.72,1612.04,1632.15,2012-08-17 16:00:00,1612.04,0.25,-176.34,-1.06,stop,0
LONG,2012-08-21 08:00:00,1622.37,1616.81,1633.55,2012-08-21 12:00:00,1633.55,0.3,324.18,1.94,target,0
LONG,2012-08-21 12:00:00,1624.36,1619.1,1635.22,2012-08-21 16:00:00,1635.22,0.32,335.56,1.99,target,0
LONG,2012-08-21 16:00:00,1636.25,1620.44,1667.93,2012-08-23 16:00:00,1667.93,0.1,313.12,1.98,target,11
LONG,2012-08-23 20:00:00,1672.6,1657.29,1703.58,2012-08-28 04:00:00,1657.29,0.11,-172.47,-1.02,stop,13
LONG,2012-08-31 20:00:00,1681.51,1641.78,1760.71,2012-09-13 20:00:00,1760.71,0.04,315.31,1.98,target,52
LONG,2012-09-13 20:00:00,1752.63,1710.9,1836.08,2012-09-28 00:00:00,1776.65,0.04,94.6,0.57,time,60
LONG,2012-09-28 08:00:00,1781.37,1773.61,1796.89,2012-09-28 12:00:00,1773.61,0.23,-187.03,-1.05,stop,0
LONG,2012-10-01 16:00:00,1784.72,1761.59,1831.26,2012-10-09 16:00:00,1761.59,0.07,-164.52,-1.02,stop,35
SHORT,2012-10-15 20:00:00,1735.91,1748.74,1710.25,2012-10-17 00:00:00,1748.74,0.13,-171.61,-1.03,stop,6
SHORT,2012-10-19 12:00:00,1733.94,1742.14,1717.53,2012-10-19 16:00:00,1717.53,0.21,336.83,1.95,target,0
SHORT,2012-10-19 20:00:00,1720.92,1742.28,1678.15,2012-11-02 16:00:00,1678.15,0.08,339.23,1.99,target,58
SHORT,2012-11-02 16:00:00,1695.09,1713.16,1658.64,2012-11-06 16:00:00,1713.16,0.09,-165.98,-1.02,stop,11
LONG,2012-11-07 08:00:00,1723.54,1705.66,1759.19,2012-11-07 16:00:00,1705.66,0.1,-182.55,-1.02,stop,1
LONG,2012-11-09 08:00:00,1737.48,1728.66,1755.09,2012-11-09 12:00:00,1728.66,0.2,-183.83,-1.04,stop,0
SHORT,2012-11-15 20:00:00,1713.04,1728.86,1681.4,2012-11-19 12:00:00,1728.86,0.11,-178.08,-1.02,stop,9
LONG,2012-11-23 20:00:00,1750.59,1729.05,1793.61,2012-11-28 12:00:00,1729.05,0.08,-175.26,-1.02,stop,15
SHORT,2012-11-28 16:00:00,1714.85,1745.19,1654.24,2012-12-12 20:00:00,1721.51,0.05,-35.15,-0.23,time,60
LONG,2012-12-12 20:00:00,1721.51,1704.03,1756.34,2012-12-13 00:00:00,1704.03,0.09,-160.61,-1.02,stop,0
SHORT,2012-12-18 20:00:00,1675.7,1701.96,1623.09,2013-01-04 16:00:00,1645.59,0.06,178.44,1.13,time,60
LONG,2013-01-17 20:00:00,1694.27,1662.43,1757.95,2013-01-25 12:00:00,1662.43,0.05,-161.06,-1.01,stop,33
