strategy,tf,period,cost,trades,win_rate,profit_factor,expectancy_R,avg_R,total_return_pct,cagr_pct,max_dd_pct,mar,sharpe,max_loss_streak,best_R,worst_R,avg_bars,end_equity
ma_cross,1d,OOS_2019_2026,pessimistic,13,30.8,0.66,-0.25,-0.25,-1.7,-0.2,-3.3,-0.07,-0.28,6,1.93,-1.16,15.3,9826.0
ma_cross,1w,full,ideal,5,40.0,0.9,0.126,0.13,-0.2,-0.0,-1.7,-0.0,-0.02,2,2.35,-0.99,19.0,9983.0
ma_cross,1w,full,realistic,5,40.0,0.86,0.111,0.11,-0.2,-0.0,-1.8,-0.01,-0.02,2,2.35,-0.99,19.0,9976.0
ma_cross,1w,full,pessimistic,5,40.0,0.84,0.102,0.1,-0.3,-0.0,-1.8,-0.01,-0.03,2,2.34,-0.99,19.0,9971.0
ma_cross,1w,IS_2004_2018,ideal,4,25.0,0.0,-0.431,-0.43,-1.7,-0.1,-1.7,-0.07,-0.38,2,0.01,-0.99,15.0,9830.0
ma_cross,1w,IS_2004_2018,realistic,4,25.0,0.0,-0.448,-0.45,-1.8,-0.1,-1.8,-0.07,-0.39,2,0.0,-0.99,15.0,9823.0
ma_cross,1w,IS_2004_2018,pessimistic,4,25.0,0.0,-0.459,-0.46,-1.8,-0.1,-1.8,-0.07,-0.4,2,0.0,-0.99,15.0,9819.0
ma_cross,1w,OOS_2019_2026,ideal,2,0.0,0.0,-0.646,-0.65,-1.1,-0.2,-1.1,-0.14,-0.47,2,-0.29,-1.0,2.0,9889.0
ma_cross,1w,OOS_2019_2026,realistic,2,0.0,0.0,-0.654,-0.65,-1.1,-0.2,-1.1,-0.14,-0.47,2,-0.3,-1.01,2.0,9887.0
ma_cross,1w,OOS_2019_2026,pessimistic,2,0.0,0.0,-0.66,-0.66,-1.1,-0.2,-1.1,-0.14,-0.48,2,-0.31,-1.01,2.0,9886.0
breakout_retest,4h,full,ideal,1134,39.6,1.2,0.143,0.14,322.2,6.9,-16.5,0.42,0.85,13,7.55,-1.0,16.1,42223.0
breakout_retest,4h,full,realistic,1134,39.6,1.15,0.107,0.11,185.4,5.0,-19.3,0.26,0.64,13,7.38,-1.24,16.1,28539.0
breakout_retest,4h,full,pessimistic,1134,39.6,1.11,0.084,0.08,116.1,3.6,-21.0,0.17,0.49,13,7.27,-1.39,16.1,21613.0
breakout_retest,4h,IS_2004_2018,ideal,757,39.5,1.17,0.141,0.14,157.1,6.7,-13.8,0.48,0.84,13,3.79,-1.0,16.8,25708.0
