dir,entry_time,entry,stop,target,exit_time,exit,lots,pnl,R,reason,bars
LONG,2010-04-02 12:00:00,1119.03,1106.36,,2010-04-13 00:00:00,1152.65,0.09,299.23,2.62,stop,38
SHORT,2010-07-07 08:00:00,1188.17,1206.46,,2010-07-08 08:00:00,1207.0,0.06,-115.22,-1.05,stop,5
LONG,2010-08-13 04:00:00,1214.23,1200.04,,2010-08-20 12:00:00,1222.85,0.08,65.99,0.58,stop,31
SHORT,2011-01-14 12:00:00,1369.74,1387.35,,2011-01-19 12:00:00,1377.37,0.06,-48.01,-0.45,stop,17
LONG,2011-02-16 04:00:00,1373.28,1358.99,,2011-02-22 08:00:00,1395.58,0.08,175.48,1.53,stop,24
SHORT,2011-06-29 00:00:00,1501.6,1517.91,,2011-07-05 12:00:00,1498.35,0.07,20.15,0.18,stop,20
LONG,2011-07-08 16:00:00,1540.9,1524.04,,2011-07-18 08:00:00,1575.37,0.07,238.73,2.02,stop,33
SHORT,2011-09-26 00:00:00,1647.36,1713.42,,2011-09-26 12:00:00,1619.86,0.01,27.13,0.41,stop,2
LONG,2011-10-31 00:00:00,1741.49,1708.95,,2011-10-31 04:00:00,1708.95,0.03,-98.74,-1.01,stop,0
SHORT,2011-11-23 20:00:00,1696.34,1733.47,,2011-11-28 00:00:00,1708.07,0.03,-36.31,-0.33,stop,12
LONG,2011-12-02 08:00:00,1745.02,1716.46,,2011-12-05 20:00:00,1728.29,0.04,-68.41,-0.6,stop,8
SHORT,2011-12-12 04:00:00,1708.64,1738.22,,2011-12-20 12:00:00,1611.05,0.04,388.89,3.29,stop,37
LONG,2012-01-19 20:00:00,1652.33,1628.56,,2012-01-25 12:00:00,1653.58,0.05,4.38,0.04,stop,21
SHORT,2012-03-08 04:00:00,1684.07,1709.99,,2012-03-09 16:00:00,1710.46,0.04,-107.03,-1.03,stop,8
LONG,2012-06-14 12:00:00,1619.27,1593.73,,2012-06-18 00:00:00,1603.73,0.04,-63.64,-0.62,stop,8
SHORT,2012-06-22 12:00:00,1569.25,1594.64,,2012-06-29 12:00:00,1573.95,0.04,-20.29,-0.2,stop,29
LONG,2012-07-05 20:00:00,1606.03,1585.07,,2012-07-06 12:00:00,1583.99,0.05,-112.07,-1.07,stop,3
SHORT,2012-07-06 20:00:00,1577.94,1601.88,,2012-07-13 12:00:00,1582.42,0.05,-24.26,-0.2,stop,27
LONG,2012-07-27 08:00:00,1616.25,1596.55,,2012-08-01 12:00:00,1606.87,0.06,-58.49,-0.49,stop,18
SHORT,2012-10-24 00:00:00,1707.71,1724.57,,2012-10-31 08:00:00,1719.56,0.07,-85.56,-0.72,stop,31
LONG,2012-11-22 04:00:00,1731.47,1715.78,,2012-11-28 12:00:00,1736.87,0.07,35.23,0.32,stop,25
SHORT,2012-12-04 04:00:00,1713.53,1729.3,,2012-12-10 00:00:00,1706.13,0.07,49.24,0.45,stop,22
LONG,2013-01-23 20:00:00,1686.81,1672.52,,2013-01-24 08:00:00,1678.51,0.08,-69.36,-0.61,signal,2
SHORT,2013-01-24 08:00:00,1678.51,1692.66,,2013-01-30 12:00:00,1669.41,0.08,69.82,0.62,stop,24
LONG,2013-07-26 00:00:00,1333.87,1309.97,,2013-07-26 16:00:00,1313.01,0.05,-106.16,-0.89,stop,3
SHORT,2013-08-06 16:00:00,1288.93,1314.96,,2013-08-08 16:00:00,1302.29,0.04,-54.93,-0.53,stop,11
LONG,2013-08-13 04:00:00,1335.18,1312.18,,2013-08-20 08:00:00,1353.03,0.05,87.39,0.76,stop,30
SHORT,2013-09-16 08:00:00,1328.41,1353.31,,2013-09-18 20:00:00,1322.43,0.04,22.45,0.23,stop,14
LONG,2013-10-25 16:00:00,1342.49,1323.22,,2013-10-30 00:00:00,1338.99,0.06,-23.23,-0.2,stop,13
SHORT,2013-11-06 00:00:00,1312.02,1328.67,,2013-11-14 00:00:00,1283.41,0.07,197.71,1.7,stop,35
LONG,2014-01-17 20:00:00,1252.35,1237.13,,2014-01-21 12:00:00,1242.03,0.08,-85.54,-0.7,stop,9
SHORT,2014-03-28 04:00:00,1292.55,1308.99,,2014-04-04 12:00:00,1295.74,0.07,-24.9,-0.22,stop,31
LONG,2014-06-20 12:00:00,1308.54,1292.15,,2014-06-26 12:00:00,1307.91,0.07,-7.0,-0.06,stop,23
SHORT,2014-07-30 04:00:00,1299.21,1312.58,,2014-08-01 16:00:00,1295.61,0.09,29.1,0.24,stop,14
LONG,2014-08-11 20:00:00,1307.63,1294.33,,2014-08-15 12:00:00,1303.88,0.09,-37.07,-0.31,stop,21
SHORT,2014-08-20 08:00:00,1294.57,1306.12,,2014-08-26 08:00:00,1288.59,0.1,56.13,0.49,stop,23
LONG,2014-10-22 04:00:00,1247.48,1233.99,,2014-10-23 12:00:00,1233.82,0.09,-126.3,-1.04,stop,7
SHORT,2014-10-24 16:00:00,1232.31,1244.94,,2014-11-07 12:00:00,1152.45,0.09,715.43,6.29,stop,58
LONG,2014-12-05 04:00:00,1203.89,1182.71,,2014-12-08 04:00:00,1193.76,0.06,-63.0,-0.5,signal,5
SHORT,2014-12-08 04:00:00,1193.76,1215.03,,2014-12-09 04:00:00,1201.24,0.06,-47.1,-0.37,signal,5
LONG,2014-12-09 04:00:00,1201.24,1180.95,,2014-12-15 08:00:00,1211.84,0.06,61.41,0.5,stop,22
SHORT,2014-12-23 00:00:00,1176.58,1195.97,,2014-12-26 12:00:00,1192.7,0.06,-98.92,-0.85,stop,11
LONG,2015-01-07 04:00:00,1217.16,1196.46,,2015-01-26 12:00:00,1279.08,0.06,369.32,2.97,stop,72
SHORT,2015-02-13 04:00:00,1224.99,1241.84,,2015-02-19 04:00:00,1216.79,0.07,54.83,0.46,stop,22
LONG,2015-04-06 16:00:00,1222.28,1205.42,,2015-04-08 20:00:00,1199.93,0.07,-159.07,-1.35,stop,12
SHORT,2015-04-23 12:00:00,1188.15,1201.44,,2015-04-27 16:00:00,1192.18,0.09,-39.63,-0.33,stop,12
LONG,2015-04-29 08:00:00,1210.11,1195.85,,2015-04-30 12:00:00,1196.62,0.09,-124.71,-0.97,stop,6
SHORT,2015-05-01 08:00:00,1182.85,1198.44,,2015-05-04 16:00:00,1188.88,0.08,-51.17,-0.41,stop,7
LONG,2015-05-14 16:00:00,1219.12,1204.54,,2015-05-19 12:00:00,1215.42,0.08,-32.58,-0.28,stop,16
SHORT,2015-05-28 16:00:00,1187.8,1198.86,,2015-06-01 16:00:00,1198.29,0.11,-119.46,-0.98,stop,11
LONG,2015-08-21 08:00:00,1163.93,1148.93,,2015-08-21 12:00:00,1148.93,0.08,-122.92,-1.02,stop,0
SHORT,2015-09-08 20:00:00,1123.47,1136.07,,2015-09-16 12:00:00,1113.84,0.1,92.56,0.73,stop,33
LONG,2015-09-22 12:00:00,1134.88,1123.52,,2015-09-22 16:00:00,1123.52,0.11,-128.98,-1.03,stop,0
SHORT,2015-10-02 08:00:00,1112.31,1123.86,,2015-10-02 12:00:00,1123.86,0.1,-119.22,-1.03,stop,0
LONG,2015-10-05 00:00:00,1136.78,1123.44,,2015-10-08 12:00:00,1137.51,0.09,3.25,0.03,stop,20
SHORT,2015-11-04 00:00:00,1118.11,1131.98,,2015-11-16 00:00:00,1089.69,0.08,224.4,2.02,stop,47
LONG,2016-01-08 00:00:00,1108.62,1095.19,,2016-01-12 12:00:00,1090.46,0.09,-166.81,-1.38,stop,14
SHORT,2016-05-25 04:00:00,1227.32,1243.01,,2016-06-01 04:00:00,1218.93,0.07,56.14,0.51,stop,28
LONG,2016-06-10 16:00:00,1270.2,1257.02,,2016-06-16 20:00:00,1294.39,0.09,214.42,1.81,stop,24
SHORT,2016-08-29 04:00:00,1319.33,1334.12,,2016-09-02 12:00:00,1317.48,0.08,11.8,0.1,stop,25
LONG,2016-09-08 08:00:00,1346.54,1333.11,,2016-09-09 12:00:00,1333.35,0.09,-122.04,-1.01,stop,6
SHORT,2016-09-13 20:00:00,1322.91,1335.75,,2016-09-21 08:00:00,1321.45,0.09,9.79,0.08,stop,32
LONG,2016-09-26 16:00:00,1338.88,1326.33,,2016-09-27 16:00:00,1325.4,0.1,-138.51,-1.1,stop,5
SHORT,2016-09-29 04:00:00,1324.17,1335.62,,2016-10-10 04:00:00,1263.58,0.1,602.25,5.26,stop,41
LONG,2016-11-07 04:00:00,1293.53,1277.07,,2016-11-08 00:00:00,1282.47,0.08,-91.44,-0.69,signal,4
SHORT,2016-11-08 00:00:00,1282.47,1297.55,,2016-11-09 04:00:00,1289.02,0.08,-55.38,-0.46,stop,6
LONG,2016-11-09 08:00:00,1324.79,1301.49,,2016-11-09 12:00:00,1301.49,0.05,-118.36,-1.02,stop,0
SHORT,2016-11-10 16:00:00,1276.12,1303.89,,2016-11-28 00:00:00,1194.39,0.04,325.46,2.93,stop,66
LONG,2017-01-12 12:00:00,1205.34,1190.3,,2017-01-19 00:00:00,1201.14,0.08,-36.53,-0.3,stop,25
